,번호,본문,요약문,중요단어,추출단어
109,110,"할미성이라고도 불리는 충청북도 진천군 진천읍의 대모산성은 『삼국사기』 전투기사에 보이는 모산성(母山城)으로 추정되고 있다. 남쪽으로 넓은 평야를 끼고 낮은 구릉지 위에 쌓은 포곡식 산성으로 내·외성과 자성(子城)을 갖춘 특이한 형식이다. 성의 총길이는 1,260m에 이르고 있으며 남쪽과 북쪽에 문터로 짐작되는 자리가 있다. 내성의 벽은 자연지형을 충분히 이용하여 흙을 층층이 다져서 쌓았고, 외성의 벽은 아래 기초부분에 자갈돌을 넣고 점토가 많이 섞인 흙을 채웠다. 성의 외부는 경사가 급한 지형을 이루고 있으나 안쪽은 비교적 경사가 완만하다. 성안에서는 선사시대 이래의 석기와 토기 조각들이 발견되었으며, 성의 바깥에서는 최근에 백제 초기의 저장구덩이와 더욱 오래된 시기의 무덤자리, 신라의 돌방무덤이 조사되었다. 이 성은 고려시대 초기에 진천지역 호족인 임희(林曦)에 의하여 대대적으로 개축되어 오늘에 이르고 있으며, 고대사회의 행정구역과 산성연구에 중요한 자료가 되고 있다.",대모산성은 고려 때 진천지역 호족 임희에 의해 대대적으로 개축되었으며 자성과 내·외성을 구비한 특별한 형식으로 이루어져 있다.,"대모산성,고려,호족,임희","할미,충청북도,진천군,진천읍,대모산성,삼국사기,전투,기사,산성,추정,남쪽,평야,끼,구릉지,위,포,곡식,산성,내,외,성과,자성,형식,성의,길이,남쪽,북쪽,터,짐작,자리,성의,벽,자연,지형,이용,흙,층층,외,성의,벽,아래,기초,부분,자갈,돌,점토,흙,성의,외부,경사,지형,안쪽,비교,경사,완만,성안,선사시대,석기,토기,조각,발견,성의,바깥,최근,백제,초기,저장,구덩이,더욱,시기,무덤,신라,돌방무덤,조사,이,성은,고려시대,초기,진천,지역,호족,임,대적,개축,오늘,사회,행정구역,산성,연구,자료"
110,111,"향교는 훌륭한 유학자를 제사하고 지방민의 유학교육과 교화를 위하여 나라에서 지은 교육기관이다. 고려 공양왕 1년(1389)에 지어진 제천향교는 원래 마산 서쪽에 있던 것을 선조 23년(1590)에 지금의 자리로 옮겼으나 임진왜란으로 인해 쇠퇴하였다. 그 뒤 순종 융희 1년(1907)에 대성전과 명륜당이 불에 타 없어졌고 1922년에 대성전을 다시 지었다. 현재 남아있는 건물은 대성전·명륜당·동재·서재 등이 있고 그 밖에 부속건물이 있다. 대성전은 공자를 비롯하여 여러 성현들의 위패를 모시고, 제사를 지내던 곳으로 제사 공간을 형성하는데 중심이 된다. 명륜당은 학생들이 공부하던 곳으로 배움의 공간을 이루며, 그 앞에 학생들이 거처인 동재·서재가 있다. 조선시대에는 국가로부터 토지·노비·책 등을 지급 받아서 학생들을 가르쳤으나, 갑오개혁(1894) 이후에는 교육적 기능은 없어지고 봄·가을 2차례에 걸쳐 제사만 지내고 있다.",고려 공양왕 때 세워진 제천향교는 갑오개혁 이후 교육적 기능은 사라지고 제사만 지내고 있다.,"고려,공양왕,제천향교,갑오개혁","향교,유학자,제사,지방,민,유학,교육,교화,위,나라,지은,교육,기관,고려,공양왕,향교,원래,마산,서쪽,것,선조,지금,자리,임진왜란,그,뒤,순종,융희,대성전,명륜당,불,타,대성전,다시,현재,건물,대성전,명륜당,재,서재,등,그,부속,건물,대성전,공자,비롯,여러,성현,위패,모시,제사,곳,제사,공간,형성,중심,명륜당,학생,공부,곳,배움,공간,그,앞,학생,거처,재,서재,조선시대,국가,로부터,토지,노비,책,등,지급,학생,갑오개혁,이후,교육,기능,봄,가을,차례,제사"
111,112,"조선 중기 문신인 유근(1549∼1627) 선생이 괴산읍 제월리에 세운 정자인 고산정과 산의 풍경을 한눈에 내려다 볼 수 있는 암반(岩盤)인 제월대이다. 선생이 충청도 관찰사로 있을 때인 선조 29년(1596)에 세운 것으로 처음에는 만송정이라고 했다가, 광해군 때 국정의 어지러움을 피해 이곳에 은거하면서 고산정이라 이름을 바꾸었다. 특히 정자에 걸려 있는 ‘고산정사기’는 명나라 사신인 태화가 보내온 것인데 뛰어난 글로 평가 받고 있다. 정자는 아래쪽으로 맑은 냇물을 바라다 볼 수 있도록 벼랑 위에 세웠다. 앞면 2칸·옆면 2칸 규모이며, 지붕은 옆면에서 볼 때 여덟 팔(八)자 모양인 팔작지붕으로 꾸몄다. 정자 동남쪽에 있는 제월대 위에서 보면 이 산의 수려한 경관이 한눈에 들어온다.",조선 중기 문신인 유근 선생이 제월리에 세운 고산정은 앞면 2칸·옆칸 2칸 규모이고 지붕은 팔작지붕이다.,"조선,문신,유근,선생,고산정,팔작지붕","조선,중기,문신,유근,선생,괴산읍,월리,세운,정자,산정,산,풍경,한눈,볼,수,반,인,월,선생,충청도,관찰사,때,선조,세운,것,처음,송정,광해군,때,국정,어지러움,피해,곳,은거,산정,이름,정자,산정,사기,명나라,사신,태화,것,글,평가,정자,아래쪽,맑은,냇물,볼,수,벼랑,위,앞,칸,옆면,칸,규모,지붕,옆면,볼,때,여덟,팔,자,모양,지붕,정자,동남쪽,월,위,이,산,수려,경관,한눈"
112,113,학림사 석불좌상은 커다란 두부에 불신이 왜소하며 전체적으로 입체감이 없는 평평한 체구와 얼굴을 보여준다. 머리 위의 육계 부분은 밋밋하고 계주도 평평하게 새겨져 있다. 크고 네모난 얼굴에는 이목구비가 얕게 새겨졌고 입은 가늘게 홈을 파듯이 음각 되어 있으며 얼굴 양쪽에 붙어있는 표현된 귀가 짧다. 양어깨는 좁고 둥글며 대의를 통견식으로 입었다. 옷소매 밖으로 나온 양손은 배에 붙어있는데 작고 어색하게 조각되어 있다. 결가부좌한 다리 부분은 얕고 손상되었다. 조선시대의 토속화된 석불조각의 모습을 잘 보여주는 예로서 조선 말기에 제작된 것으로 추정된다.,큰 머리에 비해 불신이 왜소한 학림사 석불좌상은 배에 붙은 작은 손과 짧은 귀의 조각이 특징적이다.,"학림사,석불좌상,조선시대,조선말기","학림사,석불좌상,두부,불신,전체,입,체감,체구,얼굴,머리,위,육계,부분,계주,네모,얼굴,이목구비,홈,음각,얼굴,양쪽,표현,귀가,어깨,대의,통,견식,옷소매,밖,손,배,작고,조각,결가부좌,다리,부분,손상,조선시대,토속,석불,조각,모습,로서,조선,말기,제작,것,추정"
113,114,"내세의 극락왕생을 빌기 위해 생전에 재를 올려 공덕을 쌓는 불교의례의 일종인 예수재(預修齋)에 관한 의식 절차를 편찬한 의식집. 권말에 ‘萬曆2年(1574)7月日 全羅道順天地曹溪山松廣寺留鎭’이란 간기가 함께 판각되어 있어, 1574년에 전라도 순천의 송광사에서 개판되었음을 알 수 있으며, 현재 지방문화재로 지정된 자료 중 비교적 초기에 간행된 판본에 해당됨. 임진왜란 이전에 간행된 의식집으로 조선전기에 시행된 예수재의 불교의례에 관한 의식절차를 수록하고 있으며, 현재 우리나라에는 거의 남아 있지 않은 귀중본이라는 점에서 서울시 유형문화재로 지정 관리할 만한 가치가 있는 것으로 판단됨.",내세의 극락왕생을 빌기 위해 예수재에 관한 의식 절차를 편찬한 의식집으로 서울시 유형문화재로 지정 관리할 만한 가치가 있는 것으로 판단된다.,"예수재,의식집,송광사","내세,극락왕생,위해,생전,재,공덕,불교,의례,일종,수재,관,의식,절차,편찬,의식,집,권말,이란,간기,판각,전라도,순천,송광사,개판,알,수,현재,지방,문화재,지정,자료,중,비교,초기,간행,판본,해당,임진왜란,이전,간행,의식,집,조선,전기,시행,예수,재의,불교,의례,관,의식,절차,수록,현재,우리나라,거의,남아,귀중,점,서울시,유형문화재,지정,관리,만,가치,것,판단"
114,115,"1940년 순창에서 태어난 이정호는 박홍규, 양학구, 설동근 등에게 들소리를 사사받았다. 전북예술경연대회, 전국민속예술제, 전국민요경창대회, 전국시조가사경창대회 등 다수 대회에서 입상하였다. 금과들소리는 500여년 전부터 모정을 중심으로 동전?대장 들녘에서 불리던 금과들소리는 힘든 농사일을 상호부조의 품앗이를 통해 극복하면서 풍년을 기원하는 소박한 마음이 고스란히 담겨져 있는 이 지역의 대표적인 농요이다.이정호는 금과들소리 선소리꾼으로서 물품기소리, 상사소리, 문열가, 연꽃타령, 방아타령, 사호소리, 장원질소리 등으로 논에 물을 대고, 모를 심고, 김을 매는 등의 농사일에 맞는 가사를 잘 소화하고 있다.","1940년 순창에서 태어나 박홍규, 양학구 등에게 가르침을 받은 이정호는 금과들소리 선소리꾼으로서 농사일에 맞는 가사를 잘 소화하고 있다.","박홍규,양학구,이정호,금과들소리,선소리꾼,농사일","순창,이정호,박홍규,학구,설동근,등,들소리,사사,전북,예술,대회,국민,예술제,국민,경창,대회,전국,시조,가사,경창,대회,등,다수,대회,금,들소리,년,전,모정,중심,동전,대장,녘,금,들소리,농사일,상호부조,품앗이,통해,극복,풍년,기원,마음,고스,란,이,지역,대표,농요,이정호,금,들소리,선소리,물품,소리,상사,소리,열,연꽃,타령,방아타령,호,소리,장원,질,소리,등,논,물,대고,김,등,농사일,가사,소화"
115,116,"해운정은 조선 상류주택의 별당 건물로 경포호가 멀리 바라다 보이는 곳에 있으며, 조선 중종 25년(1530)에 어촌 심언광이 강원도 관찰사로 있을 때 지은 것으로 전한다. 심언광 선생은 조선 중종 2년(1507) 진사가 된 뒤, 여러 벼슬을 두루 거친 분으로 문장에도 뛰어났다. 이 건물은 3단으로 쌓은 축대 위에 남향으로 지었는데, 규모는 앞면 3칸·옆면 2칸으로 안쪽의 오른쪽 2칸은 대청이며 왼쪽 1칸은 온돌방이다. 지붕은 옆면에서 볼 때 여덟 팔(八)자 모양의 팔작지붕으로 꾸몄고, 대청 앞면에는 문을 달아 모두 열 수 있게 하였다. 건물 주위에는 툇마루를 돌려 놓았다. 건물 앞에 걸린 ‘해운정(海雲亭)’이라는 현판은 송시열의 글씨이며, 안에는 권진응, 율곡 이이 등 유명한 사람들의 글이 걸려 있다. 겉은 소박하고 안쪽은 세련된 조각으로 장식한 별당 건물로, 강릉 지방에서는 오죽헌 다음으로 오래된 건물이다.",조선 중종 25년에 지어진 해운정은 겉은 소박하고 안쪽은 세련된 조각으로 장식한 조선 상류주택의 별당 건물이다.,"조선,중종,해운정,조선","해운정,조선,상류,주택,별당,건물,경포호,멀리,곳,조선,중종,어촌,심언광,강원도,관찰사,때,지은,것,전,심언광,선생,조선,중종,진사,뒤,여러,벼슬,두루,분,문장,이,건물,단,축대,위,남향,규모,앞,칸,옆면,칸,안쪽,오른쪽,칸,대청,왼쪽,칸,온돌방,지붕,옆면,볼,때,여덟,팔,자,모양,지붕,대청,앞면,문,달,모두,열,수,건물,주위,툇마루,건물,앞,해운정,현판,송시열,글씨,안,권,진응,율곡,이이,등,사람,글,겉,안쪽,조각,장식,별당,건물,강릉,지방,오죽헌,다음,건물"
116,117,"악공청(樂工廳, 신청 또는 재인청이라고도 함)은 조선시대 관아에서 음악과 연희를 담당하던 기관으로 음악 강습을 하고 관아의 행사에서 공적 역할을 수행했던 기관이다. 여수 악공청은 1939년에 설립되었는데 조선시대 전라좌수영 소속 취방(吹房)의 후신으로 보이며, 여수지역 문화예술사의 전개와 긴밀하게 연결된 조직으로 전승되었다. 악공청자료는 선대 구성원을 기록한 무진년(1928년)선생안 등 선생안 2점, 악공청수혜서(樂工廳樹惠序)(1939년), 무진년악공청동반일동현판[희사기념] 등 현판 4점으로 악공청 자료로서는 매우 희귀하고 학술적 가치가 있다.",1939년에 설립된 여수 악공청의 자료는 현판 4점으로 학술적 가치가 있고 매우 희귀하다.,"악공청,신청,재인청,조선시대,전라좌수영,무진년,악공청수혜서,무진년악공청동반일동현판","악,청,신청,재인,청,함,은,조선시대,관아,음악,연희,담당,기관,음악,강습,관아,행사,공적,역할,수행,기관,여수,악,청,설립,조선시대,전라좌수영,소속,취방,의,후신,보이,여수,지역,문화,예술사,전개,연결,조직,전승,악,청,자료,선대,구성원,기록,무진년,선생안,등,선생안,점,악,청,수혜,무진년,악,청동,현판,희사,기념,등,현판,점,악,청,자료,로서,매우,희귀,학술,가치"
117,118,"유배근은 1953년에 태어났으며, 부친 유양수로부터 한지발을 사사받았다. 전북공예품경진대회, 전승공예대전 등 다수 대회에서 입상하였다.한지발은 고유 한지를 뜨는데 없어서는 안되는 가장 핵심적인 도구로써, 특히 한지발이 없으면 고유한지를 뜰 수 없다. 생산품목은 한지 외발, 한지 쌍발, 무늬발 등이고, 우리의 한지를 활성화시키는 데 더 없이 중요한 것이 한지발이며, 특히 현재 일본식의 쌍발에 밀려 사라져 가는 우리의 전통한지 외발을 되살리기 위해서는 가장 필요로 하는 것이 한지외발 제작이라 할 수 있다.유배근은 대나무와 말총을 가공하는 복잡하고 세밀한 공정에 정통해 있어 한지발 제작기술 수준이 훌륭하다.",한지발은 고유 한지를 뜨기 위한 핵심적 도구이며 우리의 한지를 활성화 시키기 위해 가장 중요한 것이다.,"한지발,유배근,유양수","유배,은,부친,유양,수로,발,사사,전북,공예품,경진,대회,전승,대전,등,다수,대회,발,고유,한지,가장,핵심,도구,로써,발,고유,한지,뜰,수,생산,품목,한지,외발,한지,쌍발,무늬,발,등,우리,한지,활성화,데,더,것,발,현재,일본,쌍발,우리,전통,한지,외발,위,가장,필요,것,외발,제작,수,유배,은,대나무,말총,가공,세밀,공정,발,제작,기술,수준"
118,119,"유월파 정열각은 임진왜란 때 의병장으로 왜적과 싸우다 죽은 유팽로 장군의 충절을 기리기 위해 인조 3년(1625)에 세운 건물이다. ‘월파’라는 이름은 유팽로 장군의 호인 월파에서 비롯되었다. 유팽로 장군은 어려서부터 효성이 지극하여 과거에 급제하고도 부모 봉양을 위해 벼슬을 버리고 부모에게 효도하였다. 임진왜란이 일어나자 고경명 등과 함께 의병을 일으켰으며, 호남지역으로 침입하고자 금산에 집결한 왜적을 공격하다가 고경명·안영 장군 등과 함께 전사하였다. 유월파 정열각이 있는 옥과면 북쪽 끝에는 장군의 말 무덤이 있다. 유팽로 장군이 금산 싸움에서 전사했을 때 그의 말이 장군의 머리를 물고 먼 길을 달려 그의 생가까지 갔고 부인이 장군의 장사를 지냈다고 한다. 말은 마구간에 들어가 9일이나 여물을 먹지 않은 채로 계속 울다 죽었다고 한다.",인조 때 세워진 유월파 정열각은 임진왜란 당시 의병을 일으켜 왜적을 공격하다가 전사한 유팽로 장군의 충절을 기리기 위해 세워진 건물이다.,"인조,유월파,정열각,임진왜란,유팽로,장군","유월,파,정열,각,임진왜란,때,의병장,왜적,유팽로,장군,충절,리기,위해,인조,세운,건물,월파,이름,유팽로,장군,호인,월파,비롯,유팽로,장군,부터,효성,지극,과거,급제,부모,봉양,위해,벼슬,부모,효도,임진왜란,고경명,등,의병,호남,지역,침입,금산,집결,왜적,공격,고경명,안영,장군,등,전사,유월,파,정열,각,옥과면,북쪽,끝,장군,말,무덤,유팽로,장군,금산,싸움,전사,때,그,말,장군,머리,물,길,그,생가,부인,장군,장사,말,마구간,여물,채,계속"
119,120,"향교는 공자와 여러 성현께 제사를 지내고, 지방민의 교육과 교화를 위해 나라에서 세운 교육기관이다. 진안향교는 조선 태종 14년(1414) 군상리 웃샛골에 처음 지었으나 임진왜란으로 불타 없어진 것을 선조 34년(1601)에 다시 지었다. 지금 있는 자리로는 인조 14년(1636)에 옮겨 지은 것이다. 남아있는 건물로는 대성전을 비롯하여 명륜당, 서재, 향안당, 사직고, 외삼문, 내삼문 등이 있다. 대성전은 공자를 비롯하여 중국과 우리 나라 유학자의 위패를 모시고 제사를 지내는 곳이다. 규모는 앞면 3칸·옆면 2칸이며, 지붕은 옆면에서 볼 때 사람 인(人)자 모양인 맞배지붕이다. 조선시대에는 나라에서 토지와 노비·책 등을 지원받아 학생을 가르쳤으나, 지금은 교육 기능은 없어지고 제사 기능만 남아 있다.",조선 태종 대 건립된 진안 향교는 인조 14년에 이전된 것이다.,"조선,태종,진안,향교,인조","향교,공자,여러,성현,제사,지방,민,교육,교화,위해,나라,세운,교육,기관,진안,향교,조선,태종,군상,리,웃샛골,처음,임진왜란,불타,것,선조,다시,지금,자리,인조,지은,것,건물,대성전,비롯,명륜당,서재,향,안당,사직고,외,문,문,등,대성전,공자,비롯,중국,우리,나라,유학자,위패,모시,제사,곳,규모,앞,칸,옆면,칸,지붕,옆면,볼,때,사람,인,자,모양,배,지붕,조선시대,나라,토지,노비,책,등,지원,학생,지금,교육,기능,제사,기능,남아"
120,121,"이 호적은 고려 공양왕 2년(1390)에 조선을 건국한 태조 이성계(1335∼1408)의 본향인 영흥에서 작성한 것이다. 원래 고려시대 양반은 3년에 한 번씩 호적을 작성하는데 이 때 2부를 작성한다. 1부는 관아에 보고하고 다른 1부는 자신이 가지고 있었다. 이것은 이성계 자신이 보관하고 있었던 것으로 보인다. 이 문서의 내용을 보면 이성계의 관직, 식봉이 명기되어 있으며, 태종 이방원의 이름도 들어있다. 뿐만 아니라 호주 이성계를 중심으로 동거하는 자식, 형제, 사위와 노비를 기록하고 있다. 이 문서는 이성계가 조선을 건국하기 전의 기록으로 이성계의 세계(世系)를 파악하는데 참고가 될 뿐만 아니라 당시의 호적제도를 연구하는 아주 귀중한 자료이다.",이 호적은 1390년에 작성한 것으로 이성계의 세계를 파악하는데 참고할 수 있고 당시의 호적제도를 연구할 수 있는 귀중한 자료이다.,"호적,이성계,고려,공양왕,2년,태조","이,호적,고려,공양왕,조선,건국,태조,이성계,의,본향,영흥,작성,것,원래,고려시대,양반,번,호적,작성,이,때,작성,관아,보고,다른,자신,가지,것,이성계,자신,보관,것,이,문서,내용,이성계,관직,식봉,명기,태종,이방원,이름,뿐,호주,이성계,중심,동거,자식,형제,사위,노비,기록,이,문서,이성계,조선,건국,전의,기록,이성계,세계,를,파악,참고,뿐,당시,호적,제도,연구,아주,자료"
121,122,"측백나무는 중국 및 우리나라에 분포하고 있으며, 우리나라에는 단양, 달성, 안동, 영양 등지에서 자라고 있다. 절벽 바위에 뿌리를 내리고 숲을 이루는 경우가 많으며, 주변환경을 아름답게 하기 위해 주택과 마을 주변에 많이 심고 있다.  안동 구리의 측백나무 자생지는 안동에서 대구로 가는 국도변의 절벽에서 자라고 있으며 앞에는 낙동강이 흐르고 있다. 이 나무들이 대략 100∼200년이 된 것으로 추정되며 약 300여 그루가 있다. 뿌리를 절벽에 박고 있어 자라는 상태가 그리 좋지 않으며, 주변에는 소나무·굴참나무·조팝나무 등이 있다. 안동 구리의 측백나무 자생지는 우리나라에서 몇 안되는 측백나무 자생지의 하나로 식물분포학적 가치가 높아 천연기념물로 지정하였다.",안동에서 대구로 가는 국도변의 절벽에서 자라고 있으며 앞에는 낙동강이 흐르는 안동 구리의 측백나무 자생지는 식물분포학적 가치가 높아 천연기념물로 지정하였다.,"측백나무,단양,달성,안동,영양","측백나무,중국,및,우리나라,분포,우리나라,단양,달성,안동,영양,등지,절벽,바위,뿌리,숲,경우,주변,환경,위해,주택,마을,주변,안동,구리,측백나무,자생,안동,대구,국도,변,절벽,앞,낙동강,이,나무,대략,것,추정,약,여,그루,뿌리,절벽,상태,주변,소나무,굴참나무,조팝나무,등,안동,구리,측백나무,자생,우리나라,몇,측백나무,자생,의,하나로,식물,분포,학적,가치,천연기념물,지정"
122,123,"<강민첨초상(姜民瞻肖像)> 은 고려시대 장군인 강민첨을 그린 초상화로, 크기는 가로 61.3㎝, 세로 80㎝이다. 강민첨(?∼1021)은 고려시대 명장으로 목종(재위 997∼1009) 때 문과에 급제하였고, 현종 3년(1012) 동여진이 침입하자 안찰사로서 군대를 이끌고 나가 격퇴하였고 현종 9년(1018) 거란이 침입하자 이를 막아내는데 큰 공을 세우기도 하였다.   과거에 급제한 후 쓰던 모자인 복두에 정장을 하고 홀(笏)을 들고 앉아서 왼쪽을 바라보고 있는 반신상이다. 의자 등받이에 있는 호랑이 가죽은 18세기 초상화의 특징을 보여준다.    이 그림은 고려시대에 그려진 것이 아니라 정조 12년(1788) 박춘빈이 원본을 그대로 옮겨 그린 그림이다. 비록 조선시대에 그려진 그림이지만 고려시대 초상화가 희귀한 상황에서 고려 공신상 형식과 표현형식을 엿볼 수 있는 중요한 그림이다.",거란의 침입을 막아내는데 큰 공을 세운 강민첨을 그린 강민첨초상은 박춘빈이 원본을 그대로 옮겨 그린 그림이다.,"거란,강민첨,강민첨초상,박춘빈","강민첨초상,은,고려시대,장군,강민첨,그린,초상화,크기,가로,세로,강민첨,은,고려시대,명장,목종,재위,때,문과,급제,현종,여진,침입,안찰사,로서,군대,격퇴,현종,거란,침입,공,과거,급제,후,모자,복두,정장,홀,왼쪽,신상,의자,등,호랑이,가죽,세기,초상화,특징,이,그림,고려시대,것,정조,박,빈,원본,그대로,그린,그림,비록,조선시대,그림,고려시대,초상화,희귀,상황,고려,신상,형식,형식,수,그림"
123,124,"낙안성 남문을 통해 들어간 남내리의 길가에 위치한 초가집이다. 대문을 들어서면 바로 안마당이고, 마당 깊숙한 곳에 안채가 동남향으로 자리잡고 있다. 안채의 앞쪽으로는 헛간채가 있고 서남쪽의 담 모서리에 화장실이 있다. 안채는 부엌·큰방·작은방 순으로 배열되어 있다. 서쪽과 뒷쪽의 벽을 맞담으로 쌓았을 뿐 앞면은 완전히 개방되어 있다. 방 앞에는 툇마루를 달았고 후대에 작은방의 옆으로 헛간을 추가로 설치하였다. 부엌에는 부엌신인 조왕신이 모셔져 있고 부엌과 헛간채의 사이에는 잘 정돈된 장독대가 있다. 토담집 특유의 수수하고 소박함을 보여주는 집이다.※ 위 문화재는 일반적으로 관람이 가능하나, 소유주 등의 개인적 사정으로 관람이 제한될 수도 있습니다.",남내리의 길가에 위치한 초가집은 안채가 동남향으로 자리를 잡고 있으며 토담집의 소박함을 보여주고 있다.,"토담집,낙안성,남문,초가집,툇마루,장독대","낙안,남문,통해,남,길가,위치,초가집,대문,바로,안마당,마당,곳,남향,자리,잡고,앞쪽,헛간,채,남쪽,담,모서리,화장실,부엌,방,작은방,순,배열,서쪽,뒷쪽,벽,담,뿐,앞,은,개방,방,앞,툇마루,후대,작은방,옆,헛간,추가,설치,부엌,부엌,신인,조왕신,부엌,헛간,채,사이,정돈,장독대,토담집,특유,집,위,문화재,일반,관람,유주,등,개인,사정,관람,제한,수도"
124,125,"지장암은 군산시 개정면 아산리 고봉산의 8부 능선에 서남향으로 자리하는 태고종 사찰로서, 절의 창건에 대한 오래된 기록이나 유물·유적 등은 전해지지 않고 있다.현재 지장암 법당에 모셔진 소조관음보살좌상은 복장유물의 유실로 정확한 내용은 살펴볼 수는 없지만, 자애로움이 충만한 자비로운 얼굴 표정과 온화한 느낌이 강하여 예술성이 뛰어남은 물론, 결가부좌한 양쪽 무릎이 안정감 있게 조성되어 있는 등 조형적인 면에서도 탁월하다.또한, 자연스러운 옷 주름 표현과 얼굴의 표현방식 등 우리지역에서 보기 드문 불상이며, 현재 작례가 많지 않은 소조보살상이라는 점과 19세기 후반으로 추정되는 새로운 불상양식을 반영한 작품으로서 가치가 있다.",소조관음보살좌상은 지장암 법당에 모셔져 있으며 19세기 후반으로 추정되는 새로운 불상양식을 반영했고 작례가 많지 않은 소조보살상이다.,"소조관음보살좌상,지장암,소조보살상","지장,암,군산시,개정면,아산,리,봉산,부,능선,남향,자리,태고종,사찰,로서,절의,창건,대한,기록,유물,유적,등,현재,지장,암,법당,관음보살,좌상,복장,유물,유실,내용,수,자애,로움,충만,얼굴,표정,느낌,예술,결가부좌,양쪽,무릎,안정감,조성,등,조형,면,또한,옷,주름,표현,얼굴,방식,등,우리,지역,보기,불상,현재,작례,보살상,점,세기,후반,추정,불상,양식,반영,작품,가치"
125,126,"이 책판은 조선 영조 16년(1740)에 고려후기 문신이자『관동별곡』,『죽계별곡』의 저자인 안축(1287∼1348)의 문집을 판각한 것이다. 안축은 고려말의 문신으로 고향 순흥(지금의 풍기)에서 세력을 다져 중앙에 진출한 신흥유학자 가운데 한 사람으로, 탁월한 재주로 학문에 힘썼다. 문과에 급제한 후에는 여러 벼슬을 했다.  안축의 사위인 정양생이 고려 공민왕 14년(1365)에 안축이 지은『관동와주집』을 청주에서 간행한 것을 비롯하여 그의 손자 안숭선이 미처 수록되지 못한 유고를 편집, 정리하여 세종 27년(1445)에 목판본으로 간행하였다. 이 문집은 일찍이 제주도에서 간행하여 나주로 옮겨 보존했으나 오랜 세월이 흘러 없어져 버렸다.  1909년에 의령, 함안에 사는 안축의 후손들이『근재집』이 간행된 지 오래되어 1910년 여름에 함안에서 완전하게 간행하였다.  이『근재집』은 전부 4권 2책으로 발간하고 안유상이 발문을 붙였다.",근재집은 고려후기 문신인 안축의 문집을 1910년 후손들이 간행한 것으로 4권 2책으로 이루어져 있으며 안유상이 발문을 붙였다.,"근재비,고려후기,무신,안축,안유상","이,책판,조선,영조,고려,후기,문신,이자,관동별곡,별곡,의,저자,안축,의,문집,판각,것,안축,고려말,문신,고향,순흥,지금,풍기,세력,중앙,진출,신흥,유학자,가운데,사람,재주,학문,문과,급제,후,여러,벼슬,안축,사위,정양생,고려,공민왕,안축,지은,관동,집,청주,간행,것,비롯,그,손자,안숭선,미처,수록,못,유고,편집,정리,세종,목판본,간행,이,문집,일찍이,제주도,간행,나주,보존,세월,의령,함안,안축,후손,재집,이,간행,여름,함안,간행,이,재집,은,전부,권,책,발간,안유,상이,발문"
126,127,"부여 관북리유적은 1983년 9월 충청남도 기념물 제43호 전백제왕궁지(傳百濟王宮址)로 지정되어 있다가, 2001년 2월 사적으로 승격 지정되었다.1982년부터 충남대학교 박물관에서 5차에 걸쳐 발굴조사를 하였는데, 1983년도에는 방형석축연지(方形石築蓮池)가 발견되었고, 1988년 발굴조사에서는 토기 구연부에 북사(北舍)라는 명문이 발견되었으며, 1992년 조사에서는 현재 국립부여문화재연구소의 남쪽 50m 지점에서 백제시대의 도로유적과 배수시설이 드러났다.백제시대 마지막 도읍이었던 사비도성의 일부 유적이 밝혀진 것은 매우 중요한 학술적 의미를 지닌다고 할 수 있다.※(부여관북리백제유적 → 부여 관북리 유적)으로 명칭변경 되었습니다.(2011.07.28 고시)",2001년 2월 사적으로 승격된 부여 관북리유적은 백제시대 마지막 도읍이었던 사비도성의 일부 유적을 밝히게 된 곳이다.,"부여,관북리유적,백제시대,사비도성","부여,관북,리,유적,충청남도,기념물,제,호,전백제,궁지,로,지정,사적,승격,지정,충남대학교,박물관,차,발굴,조사,방,축연,발견,발굴,조사,토기,부,북사,명문,발견,조사,현재,국립,부여,문화재,연구소,남쪽,지점,백제시대,도로,유적,배수,시설,백제시대,마지막,도읍,비도,일부,유적,것,매우,학술,의미,수,부여,관북,리,유적,부여,관북,리,유적,명칭변경,고시"
