,text,imp_words,hannanum_nouns
10,"경상남도 사천시 곤명면 금성리 뒷산에 있으며, 산 정상 아래쪽 테를 맨 모양으로 둘러쌓은 성곽으로 대부분 흙으로 쌓은 산성이다 산성의 둘레는 약 2이고 넓이는 약 8000평인데, 지금은 둘레 100, 너비 15 가량의 흔적만 남아 있을 뿐 성지는 대부분 과수원으로 개간되어 있다 이곳에서 금동제마상 1개, 철제장검 1개, 민무늬토기조각, 기와조각 등 많은 유물이 출토되었다 특히 기와조각에는 삼정이라고 새긴 글자를 통해 신라 때 기와로 보고 있다 성을 쌓은 시기는 확실치 않으나 경남지방의 축성활동과 출토된 유물 등으로 미루어 삼국시대 때 쌓은 산성으로 추정하고 있다","산성,삼정,신라,삼국시대","경상남,사천시,곤명면,금성리,뒷산,정상,아래쪽,테,모양,성곽,대부분,흙,산성,산성,둘레,약,2,넓이,약,8000평,지금,둘레,100,너비,15,가량,흔적,뿐,성지,대부분,과수원,개간,이곳,금동제마상,1개,철제장검,1개,민무늬토기조각,,기와조각,등,유물,출토,기와조각,삼정,글자,라,때,기와,성,시기,확실치,경남지방,축성활동,출토,유물,등,삼국시대,때,산성,추정"
11,"향교는 훌륭한 유학자를 제사하고 지방민의 유학교육과 교화를 위하여 나라에서 지은 교육기관이다 고흥향교는 세종 23년에 고흥현 서문 밖에 지었는데 선조 30년에 정유재란으로 불에 타 없어졌다 숙종 21년에 현 위치에 새로 지었으며, 그 뒤에 여러 차례의 수리를 걸쳐 오늘에 이르고 있다 현재 남아있는 건물은 대성전명륜당동무서무동재서재 등이 있다 경사진 곳에 위치하고 있는 고흥향교는 앞쪽에는 명륜당을 중심으로 배움의 공간을 이루고 있다 뒤쪽 높은 곳에는 대성전을 중심으로 제사공간을 두고 있어 전학후묘의 배치형식을 따르고 있다 조선시대에는 국가로부터 토지노비책 등을 지급받아 학생들을 가르쳤으나 갑오개혁 이후에는 교육적 기능은 없어지고, 봄가을에 제사만 지낸다","세종,23년,고흥현,고흥향교,정유재란,향교,선조,30년,숙종,21년,명륜당,대성전,갑오개혁","향교,훌륭,유학자,제사,지방민,유학교육과,교화,나라,교육기관,고흥향교,세종,23년,고흥현,서문,밖,선조,30년,정유재란으로,불,숙종,21년,위치,지,뒤,차례,수리,오늘,건물,대성전명륜당동무서무동재서재,등,곳,위치,고흥향교,앞쪽,명륜당,중심,공간,뒤쪽,곳,대성전,중심,제사공간,전학후묘,배치형식,조선시대,국가,토지노비책,등,지급,학생들,갑오개혁,이후,교육적,기능,봄가을,제사"
12,"신라 때의 충신 박제상을 제사지내는 사당으로, 강릉 박씨 종친에서 1900년대 초에 지었다  박제상은 417년에 즉위한 눌지왕의 부탁으로 고구려에 볼모로 잡혀있던 왕의 동생 복호를 데려오고, 일본에 잡혀있던 왕자 미사흔을 신라로 탈출케 한 뒤 자신은 체포되어 유배되었다가 살해되었다 또한 그의 부인은 그를 기다리다가 망부석이 되었다고 전해진다  사당은 앞면 3칸옆면 2칸의 규모로, 지붕 옆면이 사람 인자 모양인 맞배지붕집이다 안에는 조선 숙종과 정조가 직접 지은 시가 전해오고 있으며, 매년 음력 3월 5일에 차례를 지낸다","박제상,신라,눌지왕,고구려,복호,미사흔,맞배지붕집,숙종,정조","라,때,충신,박제상,사당,강릉,박씨,종친,1900년대,초,박제상,417년,즉위,눌지왕,부탁,고구려,볼모,왕,동생,복호,일본,왕자,미사흔,라,탈출케,뒤,자신,체포,유배,살해,그,부인,그,망부석,사당,앞면,3칸옆면,2칸,규모,지붕,옆면,사람,자,모양,맞배지붕집이다,안,조선,숙종,정조,시,음력,3월,5일,차례"
13,"승첩도란 전쟁에서 승리한 것을 기념하기 위해 그린 그림을 이른다 이 승첩도는 선조 37년 임진왜란 때 왜적의 침공을 막아냈던 공신들에게 왕이 하사했던 그림이라고 전하고 있다  임진왜란 당시 당포 앞바다에서 왜적과 싸워 승리하던 장면을 그린 것으로, 그림 제목에 당포전양승첩지도라고 전서체로 쓰여있고 그 앞에는 전열을 가다듬은 배들이 줄을 지어 배치되어 있다 배에는 깃발을 달았는데 그 기세가 당당하여 전쟁에 승리했다는 것을 곧 알아볼 수 있게 묘사되었다 배 아래로는 당시 군관들의 활동상황 등을 붓으로 적었으며, 군관들의 이름을 적어놓았다 임진왜란과 관계된 그림으로, 당시 전란의 상황을 알 수 있는 매우 귀중한 자료이다","임진왜란,승첩도,선조,37년,당포,앞바다,당포전양승첩지도","승첩도란,전쟁,승리,것,기념,그림,승첩도,선조,37년,임진왜란,때,왜적,침공,공신들,왕,하사,그림,임진왜란,당시,당포,앞바다,왜적,승리,장면,것,제목,당포전양승첩지도,전서체로,앞,전열,배,줄,배치,배,깃발,기세,당당,전쟁,승리,것,수,묘사,아래,당시,군관들,활동상황,등,붓,군관들,이름,임진왜란,관계,당시,전란,상황,수,귀중,자료"
14,"신라 문무왕 3년에 쌓은 신라 산성으로 주사산성이라고도 한다 주사산오봉산오로봉산닭벼슬산이라고도 불리는 부산의 정상을 중심으로 세 줄기의 골짜기를 따라 다듬지 않은 자연석을 이용하여 쌓은 석축성이다  산성이 있는 곳은 대구에서 경주로 통하는 교통의 요충지로, 선덕여왕 때 백제군이 이 산을 넘어 옥문곡까지 침입한 일이 있었다 그 이후에 경주의 서쪽에서 침입하는 적을 방어하기 위해 쌓은 외곽산성으로 조선시대 전기까지 왜구의 침입에 대비했던 것으로 보여진다 성밖은 4면이 경사가 심하고 험준하여 방어에 적합하다 성안에는 넓고 평탄한 지형이 많으며 물이 풍부하여 신라의 중요한 군사기지였던 것으로 여겨진다 효소왕 때 화랑 득오가 죽지랑과의 우정을 그리워하며 모죽지랑가를 지은 곳으로도 유명한 곳으로, 현재는 남문터와 군의 창고터, 군사훈련을 시켰던 연병장터우물터못터, 그리고 비밀통로인 암문터 등이 남아 있다","주사산성,문무왕,3년,석축성,득오,죽지랑,모죽지랑가,선덕여왕,옥문곡,조선시대,전기","라,문무왕,3년,라,산성,주사산성,주사산오봉산오로봉산닭벼슬산,부산,정상,중심,세,줄기,골짜기,자연석,이용,석축성이다,산성,곳,대구,경주,교통,요충지로,선덕여왕,때,백제군,산,옥문곡,침입,일,이후,경주,서쪽,침입,적,방어,외곽산성,조선시대,전기,왜구,침입,대비,것,성,4면,경사,험준,방어,적합,성안,평탄한,지형,물,풍부,라,중요,군사기지,것,효소왕,때,화,득오,죽지,우정,모죽지랑가,곳,유명,곳,현재,남문터,군,창고터,군사훈련,연병장터우물터못터,,비밀통로,암문터,등"
15,"지석묘는 청동기시대의 대표적인 무덤으로 고인돌이라고도 부르며, 주로 경제력이 있거나 정치권력을 가진 지배층의 무덤으로 알려져 있다 우리나라의 고인돌은 4개의 받침돌을 세워 돌방을 만들고 그 위에 거대하고 평평한 덮개돌을 올려 놓은 탁자식과, 땅속에 돌방을 만들고 작은 받침돌을 세운 뒤 그 위에 덮개돌을 올린 바둑판식으로 구분된다 비래동 비래골 마을회관 앞 논에 고인돌 2기가 있고, 맞은편 구릉 정상부에 1기의 고인돌이 있다 1호 고인돌은 덮개돌의 절반이 마치 입석처럼 세워져 있는데, 1963년 새마을 운동 당시 동네 주민들이 덮개돌을 쪼개 표면에 새마을기를 그려 넣었다고 한다 2호 고인돌은 1호 고인돌에서 동쪽으로 약 5 떨어진 곳에 있으며, 덮개돌의 규모는 길이 29, 너비 26이고 표면에는 알구멍성혈풍년을 기원하거나 자식낳기를 기원하는 의미에서 만든 구멍  16개가 불규칙적으로 표현되었다","지석묘,고인돌,바둑판식,탁자식,청동기시대","지석묘,청동기시대,대표적,무덤,고인돌,경제력,정치권력,지배층,무덤,우리나라,고인돌,4개,받침돌,돌방,위,거대,평평,덮개돌,탁자식,땅속,돌방,받침돌,뒤,위,덮개돌,바둑판식,구분,비래동,비래골,마을회관,앞,논,고인돌,2기,맞은편,구릉,정상부,1기,고인돌,1호,고인돌,덮개돌,절반,입석,1963년,새,운동,당시,동네,주민들,덮개돌,표면,새마을기,2호,고인돌,1호,고인돌,동쪽,약,5,곳,덮개돌,규모,길,29,너비,26,표면,알구멍성혈풍년,기원,자식낳기,기원,의미,구멍,16개,불규칙적,표현"
16,"이곳은 130년 전부터 우리 조상들의 생활 도구의 하나인 옹기를 만들었던 곳이다 우리 조상들은 돌가마에서 옹기를 구워 내어 물물교환을 통해 생계를 유지하였다이 돌가마는 제주지역에서만 볼 수 있는 매우 독특한 것으로서 이곳은 우리 조상들의 생활을 보여주어 학자들의 연구에 좋은 자료를 제공해 준다노랑굴의 불 지피는 곳을 석, 배연구는 뒷고망이라 하며, 온도 1100 이상에서 적갈색조를 내며 구워지기 때문에 노랑굴이라 하고, 그리고 소성을 하다가 약 900 내외에서 연기를 먹여 검게 나타내게 하는 검은굴이 있다이 굴에는 도요지의 벽과 천장이 맞붙어 있는 구석에 잿물구멍이 50 간격으로 있고, 굴의 규격은 길이 1707, 너비 289, 높이 251이며, 1948년 경에 보수한 것으로 추정된다","제주지역,돌가마,옹기,석,뒷고망,노랑굴,검은굴","이곳,130년,전,우리,조상들,생활,도구,하나,옹기,곳,우리,조상들,돌가마,옹기,물물교환,생계,유지하였다,돌가마,제주지역,수,독특,것,이곳,우리,조상들,생활,학자들,연구,자료,제공,준다노랑굴,불,곳,석,배연구,뒷고망,온도,1100,이상,적갈색조,때문,노랑굴,소성,약,900,내외,연기,검은굴,있다,굴,도요지,벽,천장,구석,잿물구멍,50,격,굴,규격,길,1707,너비,289,높이,251,1948년,경,보수한,것,추정"
17,"청평사는 고려 광종 24년에 지어져 백암선원이라 부르던 유서깊은 사찰이다 그후에 보현원, 문수원으로 불려오다 조선 명종 때 보우선사가 크게 고쳐 지으면서 이름을 청평사로 변경해 오늘에 이르고 있다 오랜 세월과 한국전쟁으로 인해 문수원기비와 국보였던 극락전 등이 불타 없어졌으며, 현재의 극락전은 최근에 다시 지은 것이다 남아 있는 유물로는 회전문, 삼층석탑, 진락공 부도, 환숙당 부도 등이 있다 또한 고려시대에 관직에 있던 이자현이 벼슬을 버리고 숨어 지내던 문수원과 영지가 남아 있는데, 이곳은 고려시대의 정원을 알 수 있는 중요한 유적이다","백암선원,청평사,환숙당,고려,광종,24년,보현원,문수원,조선,명종,보우선사","청평사,고려,광종,24년,백암선원,사찰,그후,보현원,,문수원,조선,명종,때,보우선사,이름,청평사,변경,오늘,세월,한국전쟁,문수원기비,국보,극락전,등,현재,극락전,최근,것,유물,회전문,삼층석탑,,진락공,부,환숙당,부,등,고려시대,관직,이자현,벼슬,문수원,영지,이곳,고려시대,정원,수,중요,유적"
18,"봉수대는 횃불과 연기를 이용하여 급한 소식을 전하던 옛날의 통신수단을 말한다 높은 산에 올라가서 불을 피워 낮에는 연기로 밤에는 불빛으로 신호를 보냈다 무학산 줄기인 해발 265 봉화산에 있는 봉화산 봉수대는 고려 말기에 왜구의 침입 등 위급 상황을 서울에 알리기 위한 신호수단으로 쌓은 것으로 추정된다 이곳 봉화산 봉수대는 동래에서 서울 목멱산 중앙 봉수에 이르는 봉화 선로를 연결하고 있다 처음 동래 다대포 봉수대에서 시작하여 진해 고산봉수대, 봉화산 봉수대, 함안 칠서 안곡산 봉수대, 창녕 소산 봉수대를 거쳐 최종적으로 서울 목멱산 봉수대로 이어졌다","봉수대,봉화산,고려,말기","봉수대,횃불,연기,이용,소식,옛날,통신수단,말,산,불,낮,연기,밤,불빛,신호,무학산,줄기,해발,265,봉화산,봉화산,봉수대,고려,왜구,침입,등,위급,상황,서울,신호수단,것,추정,이곳,봉화산,봉수대,동래,서울,목멱산,중앙,봉수,봉화,선로,연결,동래,다대포,봉수대,시작,고산봉수대,봉화산,봉수대,칠,안곡산,봉수대,창녕,소산,봉수대,최종적,서울,목멱산,봉수대,이"
19,"조선 후기의 문신인 창주 김익희 선생의 묘소이다  인조 11년 문과에 급제하여 부정자에 등용된 뒤 여러 관직을 거쳐 판서에까지 올랐다 1636년에 병자호란이 발생하자 척화론자로서 청나라와의 평화를 반대하며 남한산성에서 독전어사로 활약하였다 선생이 돌아가신 뒤 조정에서는 선생의 관직을 영의정으로 높여주었다 대전 대덕연구단지내 국립중앙과학관 뒤쪽 야산에 위치한 묘역은 선생과 부인의 묘를 비롯하여 그 일가의 묘역으로 조성되었다 묘의 왼쪽에는 비석이, 그 앞에는 신도비가 세워져 있는데, 글은 송시열이 짓고 글씨는 김진규와 김수증이 쓴 것이다","남한산성,독전어사,창주,김익희,조선,후기,인조,11년,병자호란,청나라,신도비","조선,후기,문신,창주,김익희,선생,묘소,인조,11년,문과,급제,부정자,등용,뒤,관직,판서,1636년,병자호란,발생,척화론자로서,청나라와,평화,반대,남한산성,독전어사,활약,선생,뒤,조정,선생,관직,영의정,대전,대덕연구단지내,국립중앙과학관,뒤쪽,야산,위치한,묘역,선생,부인,묘,비롯,일가,묘역,조성,묘,왼쪽,비석,앞,신도비,글,송시열,글씨,김진규,김수증,것"
20,"담양 전씨 문원공 전조생과 그의 후손 전자수를 추모하기 위해 유림과 후손들이 세운 서원이다 전조생은 고려시대의 문신이자 학자로 학문과 문장에 뛰어났던 분이다 고려가 망하고 이성계가 조선을 개국하였을 때 두 임금을 섬기지 않는다는 신하의 도리를 지키고자 산 속에서 은거하였다 정조 13년에 세운 이 서원은 고종 5년 흥선대원군의 서원철폐령으로 해체되었다가 다시 세운 것이다 경내의 건물로는 별묘와 강당 등이 있다 별묘는 영정을 모신 곳으로 앞면 3칸옆면 2칸 규모이며, 지붕은 옆면에서 볼 때 사람 인자 모양인 맞배지붕으로 꾸몄다 강당은 유생을 교육하고 유림들이 모임을 갖던 장소이다 앞면 6칸옆면 2칸 규모이며 지붕은 맞배지붕이다 가운데 3칸에 마루를 두고 양 옆에는 온돌방을 배치하였다 현재 교육 기능은 없어지고, 해마다 2월과 10월에 제사를 지내고 있다","전조생,전자수,흥선대원군,서원철폐령,고려시대,고려,조선,이성계,정조,13년,고종,5년","담양,씨,문원공,전조생,그,후손,전자수,추모,유림,후손들,서원,전조생,고려시대,문신,학자,학문,문장,분,고려,망,이성계,조선,개국,때,두,임금,신하,도리,속,은거,정조,13년,서원,고종,5년,흥선대원군,서원철폐령,해체,것,경내,건물,별묘,강당,등,별묘,영정,곳,앞면,3칸옆면,2칸,규모,지붕,옆면,때,사람,자,모양,맞배지붕,강당,유생,교육,유림들,모임,장소,앞면,6칸옆면,2칸,규모,지붕,맞배지붕이다,가운데,3칸,마루,양,옆,온돌방,배치,교육,기능,해,2월,10월,제사"
